"","GAME_ID","Date","Team","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP"
"905","ARI201606100",20160610,"MIA",8,36,9,2,1,1,8,0,0,0,4,0,8,0,0,0,0,5,5,6,6,1,0,27,13,1,0,1,0
"920","ARI201606110",20160611,"MIA",3,36,9,0,1,2,3,0,0,1,3,0,6,0,0,1,0,10,3,5,5,0,0,24,4,0,0,0,0
"935","ARI201606120",20160612,"MIA",0,27,3,0,0,0,0,0,0,0,2,0,6,0,0,3,0,2,2,5,5,0,0,24,8,1,0,0,0
"948","ARI201606130",20160613,"LAN",2,34,7,3,0,1,2,0,0,0,5,0,7,0,0,0,0,10,6,3,3,1,0,24,7,0,0,1,0
"960","ARI201606140",20160614,"LAN",7,35,9,1,0,4,7,1,0,0,4,0,12,0,0,0,0,6,6,3,3,1,0,27,8,1,0,0,0
"974","ARI201606150",20160615,"LAN",3,32,7,1,0,1,3,0,0,0,3,0,10,0,0,1,0,5,3,2,2,0,0,27,10,2,0,1,0
"1137","ARI201606270",20160627,"PHI",8,43,16,4,0,0,8,0,0,0,2,0,10,0,0,0,0,10,4,0,0,0,0,27,9,1,0,2,0
"1151","ARI201606280",20160628,"PHI",4,36,11,3,0,1,4,0,0,1,4,0,10,0,1,1,0,10,4,3,3,0,0,27,8,0,0,2,0
"1166","ARI201606290",20160629,"PHI",9,45,17,3,0,1,8,0,2,0,3,0,4,0,0,0,0,11,7,7,7,1,0,30,12,2,0,1,0
"1192","ARI201607010",20160701,"SFN",6,36,10,2,1,1,6,0,0,0,2,0,8,0,1,0,0,5,3,4,4,0,0,27,9,1,1,1,0
"1207","ARI201607020",20160702,"SFN",5,33,7,1,0,2,4,0,0,1,2,0,7,0,0,2,0,4,3,6,6,0,0,24,11,0,0,0,0
"1222","ARI201607030",20160703,"SFN",5,41,9,3,0,0,5,1,0,1,5,1,15,0,0,0,0,10,6,3,3,2,0,33,18,1,0,1,0
"1237","ARI201607040",20160704,"SDN",8,35,9,4,0,2,8,0,0,1,4,1,11,1,0,1,0,5,5,2,2,0,0,27,12,1,1,0,0
"1252","ARI201607050",20160705,"SDN",5,35,12,2,1,1,5,1,0,0,3,0,8,0,0,3,0,7,3,7,7,0,0,24,10,0,0,0,0
"1267","ARI201607060",20160706,"SDN",13,41,14,3,0,3,13,0,0,0,3,0,12,2,0,0,0,4,5,6,6,0,0,27,8,0,0,0,0
"1338","ARI201607150",20160715,"LAN",13,45,18,2,1,2,12,0,0,2,4,0,11,0,0,1,0,11,5,7,7,1,0,27,14,0,0,1,0
"1353","ARI201607160",20160716,"LAN",1,44,10,3,0,0,1,0,0,0,8,1,7,2,1,0,0,15,7,2,2,0,0,33,11,0,0,0,0
"1368","ARI201607170",20160717,"LAN",5,37,11,4,0,1,5,0,0,2,3,0,12,0,0,2,0,10,4,6,6,1,0,24,11,0,0,1,0
"1394","ARI201607190",20160719,"TOR",5,35,8,0,0,1,5,0,0,0,3,0,9,0,0,0,0,6,3,1,1,0,0,27,15,0,0,2,0
"1408","ARI201607200",20160720,"TOR",10,39,13,5,1,2,10,1,1,0,3,0,5,0,1,0,0,7,3,4,4,0,1,27,14,1,0,2,0
"1570","ARI201608010",20160801,"WAS",14,44,19,4,1,0,14,0,2,0,5,0,1,1,0,0,0,10,4,1,1,0,0,27,8,0,0,0,0
"1581","ARI201608020",20160802,"WAS",10,42,15,1,0,3,10,0,0,1,2,0,11,1,0,0,0,8,4,3,3,0,0,27,10,1,0,1,0
"1597","ARI201608030",20160803,"WAS",8,40,14,2,0,2,8,1,0,1,4,2,8,0,0,0,0,11,2,3,3,2,0,27,7,0,0,0,0
"1624","ARI201608050",20160805,"MIL",2,37,6,2,0,1,2,0,0,0,7,2,8,3,0,2,0,9,6,2,2,1,0,31,15,1,0,1,0
"1639","ARI201608060",20160806,"MIL",15,41,19,5,0,2,15,1,3,1,10,1,9,2,0,1,0,14,3,5,5,0,0,27,14,3,0,0,0
"1654","ARI201608070",20160807,"MIL",3,30,5,0,0,1,2,0,0,0,7,0,14,3,0,2,0,7,3,8,8,1,0,24,9,3,0,0,0
"1761","ARI201608150",20160815,"NYN",6,35,12,0,0,1,6,0,2,0,5,0,10,0,0,2,0,9,4,7,7,1,0,24,11,2,0,1,0
"1773","ARI201608160",20160816,"NYN",7,34,12,3,1,2,7,0,2,0,3,0,4,0,1,2,0,5,5,3,3,1,0,27,13,2,0,0,0
