"","Date","Team","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP"
"114",20130409,"CIN",1,30,5,0,0,0,1,0,1,0,1,0,14,0,0,1,0,4,2,5,5,1,0,24,9,0,0,0,0
"115",20130409,"CHA",7,36,11,2,0,2,6,0,1,0,3,0,11,1,0,0,0,6,5,7,7,0,0,24,10,1,0,2,0
"116",20130410,"OAK",11,44,16,4,1,1,11,0,0,0,7,1,2,2,0,0,0,13,5,5,5,0,0,27,8,1,0,1,0
"117",20130410,"BAL",8,34,6,0,0,3,6,0,0,0,5,0,14,1,0,0,0,4,5,5,5,0,0,27,7,0,0,1,0
"118",20130410,"TOR",8,38,12,5,0,0,8,0,0,0,5,0,8,2,0,1,0,8,6,5,5,0,0,27,10,1,0,1,0
"119",20130410,"MIN",0,35,7,1,1,0,0,0,0,1,3,0,11,0,1,0,0,12,4,3,3,0,0,24,13,1,0,1,0
"120",20130410,"HOU",8,40,16,6,0,3,8,0,1,0,1,0,9,0,1,0,0,7,4,3,3,0,0,27,9,0,0,2,0
"121",20130410,"TBA",2,31,6,2,0,0,2,1,1,0,3,0,4,0,1,0,0,7,5,0,0,2,0,27,12,0,0,3,0
"122",20130410,"PIT",2,32,5,2,0,0,2,0,0,0,4,0,9,0,0,1,0,7,3,10,10,0,0,24,14,2,0,1,0
"123",20130410,"ATL",8,37,13,1,0,2,8,1,1,0,5,0,6,1,0,2,0,9,3,0,0,0,0,27,9,0,0,1,0
"124",20130410,"NYN",3,35,11,2,0,3,3,0,0,0,2,0,10,0,1,1,0,7,5,7,7,0,0,24,6,0,0,0,0
"125",20130410,"LAN",4,38,13,0,1,2,4,1,0,1,3,2,8,0,0,0,0,12,4,2,2,0,0,27,9,0,1,2,0
"126",20130410,"COL",0,33,7,3,0,0,0,0,0,0,1,0,6,0,0,1,0,7,5,7,7,0,0,24,11,1,0,0,0
"127",20130410,"CIN",0,29,5,1,0,0,0,1,0,1,4,0,3,0,1,1,0,8,3,10,10,0,0,24,10,0,0,1,0
"128",20130410,"CHA",2,34,9,2,0,0,2,0,0,0,0,0,5,1,1,1,0,5,4,5,5,1,0,24,11,0,0,2,0
"129",20130411,"OAK",8,41,16,6,0,2,7,0,0,1,4,1,8,1,0,2,0,11,2,1,1,0,0,27,9,0,0,1,0
